movieId,tmdbId,imdbId,Average_Vote_TMDB,Vote_Count_TMDB,Popularity,Adult,Collection,Backdrop_Path
1,862,114709,8,15477,209.951,FALSE,Toy Story Collection,/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg
2,8844,113497,7.2,9025,14.884,FALSE,Jumanji Collection,/dH5BdTa6iSmVJahteY0xvthBsaO.jpg
3,15602,113228,6.5,296,7.016,FALSE,Grumpy Old Men Collection,/1J4Z7VhdAgtdd97nCxY7dcBpjGT.jpg
4,31357,114885,6.3,126,9.594,FALSE,None,/jZjoEKXMTDoZAGdkjhAdJaKtXSN.jpg
5,11862,113041,6.2,577,13.612,FALSE,Father of the Bride (Steve Martin) Collection,/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg
6,949,113277,7.9,5538,37.714,FALSE,None,/TxtPI9fjREyF8Pia4DJkrcGh9L.jpg
7,11860,114319,6.1,466,13.989,FALSE,None,/pjsDqcz98emrcTVfwcPuhhRTWwh.jpg
8,45325,112302,5.3,143,7.149,FALSE,None,/5k0bN4NyT0zSuXT2VUWreWTetEc.jpg
9,9091,114576,5.9,549,11.228,FALSE,None,/3QBW1kwihXnqhuxtVlQRHuPeYvf.jpg
10,710,113189,6.9,3132,19.553,FALSE,James Bond Collection,/8o9FsYGpQgRrpASU38L4gcgxchw.jpg
11,9087,112346,6.6,559,10.145,FALSE,None,/dYk6sE9nNy6ge0InSB2gJY9zcnM.jpg
12,12110,112896,6,746,17.594,FALSE,None,/acwtiim4mMtCpeQezo8A9gutuRz.jpg
13,21032,112453,7.3,1713,14.312,FALSE,Balto Collection,/hljMglukfpnfaNmUgMuORmL4OVW.jpg
14,10858,113987,6.9,264,8.851,FALSE,None,/zAaFQHZV23SJgSwRBvW5PeD219H.jpg
15,1408,112760,5.7,415,10.052,FALSE,None,/yhLeQvc841cBcXHgqDZmJpflDxG.jpg
16,524,112641,8,4526,20.465,FALSE,None,/aeEFgmSW4X88SMHNEEWGzXpeXJr.jpg
17,4584,114388,7.5,1333,12.137,FALSE,None,/iPVNnwvi1xTcCUBXki5BYSBhyGs.jpg
18,5,113101,5.7,2163,8.546,FALSE,None,/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg
19,9273,112281,6.3,3385,22.084,FALSE,Ace Ventura Collection,/h5Y9T4OoFpMrONhVBZvN2X2DfAB.jpg
20,11517,113845,5.8,609,9.112,FALSE,None,/oWfITuo0TdJYVRalEH42fuNEN2E.jpg
21,8012,113161,6.5,791,10.368,FALSE,Chili Palmer Collection,/7mbBY0I99nLegO8rcmdLKSU8y28.jpg
22,1710,112722,6.5,724,9.364,FALSE,None,/gE1DHa82NZVb9B2Lx2cLNz43Iwd.jpg
23,9691,112401,6.4,1226,14.099,FALSE,None,/sl8v4Re2ww5ekx1O9qqya5fYNeD.jpg
24,12665,114168,6.9,465,18.859,FALSE,None,/4Fj7HwCq3M0UVYXZKU0sVz9OPaX.jpg
25,451,113627,7.3,1086,15.533,FALSE,None,/ckTh7Ej33m9O4eiKDQ1u91Opd9N.jpg
26,16420,114057,6.6,116,5.587,FALSE,None,/avr1lEjpRVtSaZc6SwDNJZ2CJSl.jpg
27,9263,114011,6.9,347,9.812,FALSE,None,/ic529Vlnxmp2ArVSYr5vBLoNFEK.jpg
28,17015,114117,7.2,102,14.246,FALSE,None,/evCHYeumw4Y4hikG4AG9o5yZXUW.jpg
