movieId,title,imdbId,Adult,Backdrop_Path,genres
1,Toy Story (1995),114709,0,/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg,Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),113497,0,/dH5BdTa6iSmVJahteY0xvthBsaO.jpg,Adventure|Children|Fantasy
3,Grumpier Old Men (1995),113228,0,/1J4Z7VhdAgtdd97nCxY7dcBpjGT.jpg,Comedy|Romance
4,Waiting to Exhale (1995),114885,0,/jZjoEKXMTDoZAGdkjhAdJaKtXSN.jpg,Comedy|Drama|Romance
5,Father of the Bride Part II (1995),113041,0,/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg,Comedy
6,Heat (1995),113277,0,/TxtPI9fjREyF8Pia4DJkrcGh9L.jpg,Action|Crime|Thriller
7,Sabrina (1995),114319,0,/pjsDqcz98emrcTVfwcPuhhRTWwh.jpg,Comedy|Romance
8,Tom and Huck (1995),112302,0,/5k0bN4NyT0zSuXT2VUWreWTetEc.jpg,Adventure|Children
9,Sudden Death (1995),114576,0,/3QBW1kwihXnqhuxtVlQRHuPeYvf.jpg,Action
10,GoldenEye (1995),113189,0,/8o9FsYGpQgRrpASU38L4gcgxchw.jpg,Action|Adventure|Thriller
11,"American President, The (1995)",112346,0,/dYk6sE9nNy6ge0InSB2gJY9zcnM.jpg,Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),112896,0,/acwtiim4mMtCpeQezo8A9gutuRz.jpg,Comedy|Horror
13,Balto (1995),112453,0,/hljMglukfpnfaNmUgMuORmL4OVW.jpg,Adventure|Animation|Children
14,Nixon (1995),113987,0,/zAaFQHZV23SJgSwRBvW5PeD219H.jpg,Drama
15,Cutthroat Island (1995),112760,0,/yhLeQvc841cBcXHgqDZmJpflDxG.jpg,Action|Adventure|Romance
16,Casino (1995),112641,0,/aeEFgmSW4X88SMHNEEWGzXpeXJr.jpg,Crime|Drama
17,Sense and Sensibility (1995),114388,0,/iPVNnwvi1xTcCUBXki5BYSBhyGs.jpg,Drama|Romance
18,Four Rooms (1995),113101,0,/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg,Comedy
19,Ace Ventura: When Nature Calls (1995),112281,0,/h5Y9T4OoFpMrONhVBZvN2X2DfAB.jpg,Comedy
20,Money Train (1995),113845,0,/oWfITuo0TdJYVRalEH42fuNEN2E.jpg,Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),113161,0,/7mbBY0I99nLegO8rcmdLKSU8y28.jpg,Comedy|Crime|Thriller
22,Copycat (1995),112722,0,/gE1DHa82NZVb9B2Lx2cLNz43Iwd.jpg,Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),112401,0,/sl8v4Re2ww5ekx1O9qqya5fYNeD.jpg,Action|Crime|Thriller
24,Powder (1995),114168,0,/4Fj7HwCq3M0UVYXZKU0sVz9OPaX.jpg,Drama|Sci-Fi
25,Leaving Las Vegas (1995),113627,0,/ckTh7Ej33m9O4eiKDQ1u91Opd9N.jpg,Drama|Romance
26,Othello (1995),114057,0,/avr1lEjpRVtSaZc6SwDNJZ2CJSl.jpg,Drama
27,Now and Then (1995),114011,0,/ic529Vlnxmp2ArVSYr5vBLoNFEK.jpg,Children|Drama
28,Persuasion (1995),114117,0,/evCHYeumw4Y4hikG4AG9o5yZXUW.jpg,Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",112682,0,/yDjsUoEANHggKFabkAyTu3Y9j4N.jpg,Adventure|Drama|Fantasy|Mystery|Sci-Fi
